,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
1,1000ch_whale_12,1,0,0,0,0,0,0,0,0,0,0,0
14,29decibel_assistant_1,1,0,0,0,0,0,0,0,0,0,0,0
15,29decibel_assistant_2,1,0,0,0,0,0,0,0,0,0,0,0
22,4gray_oversetter_4,1,0,0,0,0,0,0,0,0,0,0,0
28,720kb_ndm_101,1,0,0,0,0,0,0,0,0,0,0,0
29,720kb_ndm_102,1,0,0,0,0,0,0,0,0,0,0,0
32,720kb_ndm_105,1,0,0,0,0,0,0,0,0,0,0,0
37,720kb_ndm_11,1,0,0,0,0,0,0,0,0,0,0,0
39,720kb_ndm_111,1,0,0,0,0,0,0,0,0,0,0,0
40,720kb_ndm_112,1,0,0,0,0,0,0,0,0,0,0,0
46,720kb_ndm_120,1,0,0,0,0,0,0,0,0,0,0,0
51,720kb_ndm_131,1,0,0,0,0,0,0,0,0,0,0,0
54,720kb_ndm_135,1,0,0,0,0,0,0,0,0,0,0,0
55,720kb_ndm_137,1,0,0,0,0,0,0,0,0,0,0,0
56,720kb_ndm_138,1,0,0,0,0,0,0,0,0,0,0,0
58,720kb_ndm_141,1,0,0,0,0,0,0,0,0,0,0,0
59,720kb_ndm_142,1,0,0,0,0,0,0,0,0,0,0,0
60,720kb_ndm_143,1,0,0,0,0,0,0,0,0,0,0,0
62,720kb_ndm_145,1,0,0,0,0,0,0,0,0,0,0,0
64,720kb_ndm_15,1,0,0,0,0,0,0,0,0,0,0,0
67,720kb_ndm_154,1,0,0,0,0,0,0,0,0,0,0,0
76,720kb_ndm_166,1,0,0,0,0,0,0,0,0,0,0,0
77,720kb_ndm_168,1,0,0,0,0,0,0,0,0,0,0,0
78,720kb_ndm_169,1,0,0,0,0,0,0,0,0,0,0,0
80,720kb_ndm_170,1,0,0,0,0,0,0,0,0,0,0,0
98,720kb_ndm_20,1,0,0,0,0,0,0,0,0,0,0,0
99,720kb_ndm_200,1,0,0,0,0,0,0,0,0,0,0,0
101,720kb_ndm_202,1,0,0,0,0,0,0,0,0,0,0,0
102,720kb_ndm_203,1,0,0,0,0,0,0,0,0,0,0,0
108,720kb_ndm_209,1,0,0,0,0,0,0,0,0,0,0,0
109,720kb_ndm_21,1,0,0,0,0,0,0,0,0,0,0,0
112,720kb_ndm_212,1,0,0,0,0,0,0,0,0,0,0,0
116,720kb_ndm_216,1,0,0,0,0,0,0,0,0,0,0,0
117,720kb_ndm_217,1,0,0,0,0,0,0,0,0,0,0,0
120,720kb_ndm_220,1,0,0,0,0,0,0,0,0,0,0,0
123,720kb_ndm_225,1,0,0,0,0,0,0,0,0,0,0,0
125,720kb_ndm_227,1,0,0,0,0,0,0,0,0,0,0,0
126,720kb_ndm_228,1,0,0,0,0,0,0,0,0,0,0,0
127,720kb_ndm_23,1,0,0,0,0,0,0,0,0,0,0,0
129,720kb_ndm_233,1,0,0,0,0,0,0,0,0,0,0,0
131,720kb_ndm_236,1,0,0,0,0,0,0,0,0,0,0,0
135,720kb_ndm_247,1,0,0,0,0,0,0,0,0,0,0,0
137,720kb_ndm_252,1,0,0,0,0,0,0,0,0,0,0,0
141,720kb_ndm_266,1,0,0,0,0,0,0,0,0,0,0,0
142,720kb_ndm_269,1,0,0,0,0,0,0,0,0,0,0,0
146,720kb_ndm_29,1,0,0,0,0,0,0,0,0,0,0,0
149,720kb_ndm_31,1,0,0,0,0,0,0,0,0,0,0,0
152,720kb_ndm_34,1,0,0,0,0,0,0,0,0,0,0,0
157,720kb_ndm_4,1,0,0,0,0,0,0,0,0,0,0,0
161,720kb_ndm_43,1,0,0,0,0,0,0,0,0,0,0,0
162,720kb_ndm_44,1,0,0,0,0,0,0,0,0,0,0,0
163,720kb_ndm_45,1,0,0,0,0,0,0,0,0,0,0,0
166,720kb_ndm_5,1,0,0,0,0,0,0,0,0,0,0,0
167,720kb_ndm_51,1,0,0,0,0,0,0,0,0,0,0,0
168,720kb_ndm_52,1,0,0,0,0,0,0,0,0,0,0,0
169,720kb_ndm_53,1,0,0,0,0,0,0,0,0,0,0,0
174,720kb_ndm_58,1,0,0,0,0,0,0,0,0,0,0,0
176,720kb_ndm_6,1,0,0,0,0,0,0,0,0,0,0,0
180,720kb_ndm_66,1,0,0,0,0,0,0,0,0,0,0,0
185,720kb_ndm_70,1,0,0,0,0,0,0,0,0,0,0,0
186,720kb_ndm_71,1,0,0,0,0,0,0,0,0,0,0,0
194,720kb_ndm_81,1,0,0,0,0,0,0,0,0,0,0,0
198,720kb_ndm_89,1,0,0,0,0,0,0,0,0,0,0,0
637,AiursoftWeb_Kahla.App_100,1,0,0,0,0,0,0,0,0,0,0,0
655,AiursoftWeb_Kahla.App_155,1,0,0,0,0,0,0,0,0,0,0,0
712,AiursoftWeb_Kahla.App_282,1,0,0,0,0,0,0,0,0,0,0,0
733,AiursoftWeb_Kahla.App_331,1,0,0,0,0,0,0,0,0,0,0,0
755,AiursoftWeb_Kahla.App_371,1,0,0,0,0,0,0,0,0,0,0,0
773,AiursoftWeb_Kahla.App_43,1,0,0,0,0,0,0,0,0,0,0,0
786,AiursoftWeb_Kahla.App_453,1,0,0,0,0,0,0,0,0,0,0,0
799,AiursoftWeb_Kahla.App_487,1,0,0,0,0,0,0,0,0,0,0,0
822,AiursoftWeb_Kahla.App_531,1,0,0,0,0,0,0,0,0,0,0,0
833,AiursoftWeb_Kahla.App_58,1,0,0,0,0,0,0,0,0,0,0,0
864,AiursoftWeb_Kahla.App_679,1,0,0,0,0,0,0,0,0,0,0,0
913,AiursoftWeb_Kahla.App_801,1,0,0,0,0,0,0,0,0,0,0,0
973,AlduinApp_alduin_11,1,0,0,0,0,0,0,0,0,0,0,0
997,AlduinApp_alduin_16,1,0,0,0,0,0,0,0,0,0,0,0
1001,AlduinApp_alduin_58,1,0,0,0,0,0,0,0,0,0,0,0
1004,AlduinApp_alduin_80,1,0,0,0,0,0,0,0,0,0,0,0
1041,Allow2_Allow2Automate_3,1,0,0,0,0,0,0,0,0,0,0,0
