,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
42623,720kb_ndm_116,0,0,1,0,0,0,0,0,0,0,0,0,0
75050,720kb_ndm_120,0,0,1,0,0,0,0,0,0,0,0,0,0
94109,720kb_ndm_183,0,0,1,0,0,0,0,0,0,0,0,0,0
70434,720kb_ndm_254,0,0,1,0,0,0,0,0,0,0,0,0,0
88042,720kb_ndm_40,0,0,1,0,0,0,0,0,0,0,0,0,0
3310,720kb_ndm_63,0,0,1,0,0,0,0,0,0,0,0,0,0
7298,AiursoftWeb_Kahla.App_119,0,0,1,0,0,0,0,0,0,0,0,0,0
75138,AiursoftWeb_Kahla.App_12,0,0,1,0,0,0,0,0,0,0,0,0,0
46424,AiursoftWeb_Kahla.App_168,0,0,1,0,0,0,0,0,0,0,0,0,0
32824,AiursoftWeb_Kahla.App_187,0,0,1,0,0,0,0,0,0,0,0,0,0
65604,AiursoftWeb_Kahla.App_189,0,0,1,0,0,0,0,0,0,0,0,0,0
69559,AiursoftWeb_Kahla.App_201,0,0,1,0,0,0,0,0,0,0,0,0,0
61130,AiursoftWeb_Kahla.App_205,0,0,1,0,0,0,0,0,0,0,0,0,0
74311,AiursoftWeb_Kahla.App_217,0,0,1,0,0,0,0,0,0,0,0,0,0
35131,AiursoftWeb_Kahla.App_224,0,0,1,0,0,0,0,0,0,0,0,0,0
37210,AiursoftWeb_Kahla.App_225,0,0,1,0,0,0,0,0,0,0,0,0,0
35056,AiursoftWeb_Kahla.App_230,0,0,1,0,0,0,0,0,0,0,0,0,0
17376,AiursoftWeb_Kahla.App_243,0,0,1,0,0,0,0,0,0,0,0,0,0
8718,AiursoftWeb_Kahla.App_253,0,0,1,0,0,0,0,0,0,0,0,0,0
4852,AiursoftWeb_Kahla.App_292,0,0,1,0,0,0,0,0,0,0,0,0,0
79724,AiursoftWeb_Kahla.App_305,0,0,1,0,0,0,0,0,0,0,0,0,0
90154,AiursoftWeb_Kahla.App_307,0,0,1,0,0,0,0,0,0,0,0,0,0
42542,AiursoftWeb_Kahla.App_31,0,0,1,0,0,0,0,0,0,0,0,0,0
99372,AiursoftWeb_Kahla.App_314,0,0,1,0,0,0,0,0,0,0,0,0,0
5052,AiursoftWeb_Kahla.App_319,0,0,1,0,0,0,0,0,0,0,0,0,0
27701,AiursoftWeb_Kahla.App_347,0,0,1,0,0,0,0,0,0,0,0,0,0
36542,AiursoftWeb_Kahla.App_35,0,0,1,0,0,0,0,0,0,0,0,0,0
64220,AiursoftWeb_Kahla.App_364,0,0,1,0,0,0,0,0,0,0,0,0,0
27246,AiursoftWeb_Kahla.App_390,0,0,1,0,0,0,0,0,0,0,0,0,0
53610,AiursoftWeb_Kahla.App_399,0,0,1,0,0,0,0,0,0,0,0,0,0
2969,AiursoftWeb_Kahla.App_40,0,0,1,0,0,0,0,0,0,0,0,0,0
66942,AiursoftWeb_Kahla.App_406,0,0,1,0,0,0,0,0,0,0,0,0,0
70464,AiursoftWeb_Kahla.App_407,0,0,1,0,0,0,0,0,0,0,0,0,0
53711,AiursoftWeb_Kahla.App_414,0,0,1,0,0,0,0,0,0,0,0,0,0
34335,AiursoftWeb_Kahla.App_436,0,0,1,0,0,0,0,0,0,0,0,0,0
76966,AiursoftWeb_Kahla.App_438,0,0,1,0,0,0,0,0,0,0,0,0,0
23233,AiursoftWeb_Kahla.App_44,0,0,1,0,0,0,0,0,0,0,0,0,0
11795,AiursoftWeb_Kahla.App_454,0,0,1,0,0,0,0,0,0,0,0,0,0
16613,AiursoftWeb_Kahla.App_47,0,0,1,0,0,0,0,0,0,0,0,0,0
99324,AiursoftWeb_Kahla.App_472,0,0,1,0,0,0,0,0,0,0,0,0,0
102884,AiursoftWeb_Kahla.App_473,0,0,1,0,0,0,0,0,0,0,0,0,0
83641,AiursoftWeb_Kahla.App_476,0,0,1,0,0,0,0,0,0,0,0,0,0
25250,AiursoftWeb_Kahla.App_491,0,0,1,0,0,0,0,0,0,0,0,0,0
95591,AiursoftWeb_Kahla.App_504,0,0,1,0,0,0,0,0,0,0,0,0,0
95617,AiursoftWeb_Kahla.App_510,0,0,1,0,0,0,0,0,0,0,0,0,0
80532,AiursoftWeb_Kahla.App_517,0,0,1,0,0,0,0,0,0,0,0,0,0
15471,AiursoftWeb_Kahla.App_518,0,0,1,0,0,0,0,0,0,0,0,0,0
2115,AiursoftWeb_Kahla.App_522,0,0,1,0,0,0,0,0,0,0,0,0,0
16647,AiursoftWeb_Kahla.App_53,0,0,1,0,0,0,0,0,0,0,0,0,0
15518,AiursoftWeb_Kahla.App_530,0,0,1,0,0,0,0,0,0,0,0,0,0
93616,AiursoftWeb_Kahla.App_539,0,0,1,0,0,0,0,0,0,0,0,0,0
48309,AiursoftWeb_Kahla.App_550,0,0,1,0,0,0,0,0,0,0,0,0,0
34778,AiursoftWeb_Kahla.App_581,0,0,1,0,0,0,0,0,0,0,0,0,0
63595,AiursoftWeb_Kahla.App_589,0,0,1,0,0,0,0,0,0,0,0,0,0
59457,AiursoftWeb_Kahla.App_601,0,0,1,0,0,0,0,0,0,0,0,0,0
77636,AiursoftWeb_Kahla.App_606,0,0,1,0,0,0,0,0,0,0,0,0,0
71183,AiursoftWeb_Kahla.App_611,0,0,1,0,0,0,0,0,0,0,0,0,0
58539,AiursoftWeb_Kahla.App_617,0,0,1,0,0,0,0,0,0,0,0,0,0
51736,AiursoftWeb_Kahla.App_627,0,0,1,0,0,0,0,0,0,0,0,0,0
65878,AiursoftWeb_Kahla.App_638,0,0,1,0,0,0,0,0,0,0,0,0,0
101038,AiursoftWeb_Kahla.App_710,0,0,1,0,0,0,0,0,0,0,0,0,0
36415,AiursoftWeb_Kahla.App_741,0,0,1,0,0,0,0,0,0,0,0,0,0
68916,AiursoftWeb_Kahla.App_759,0,0,1,0,0,0,0,0,0,0,0,0,0
56097,AiursoftWeb_Kahla.App_763,0,0,1,0,0,0,0,0,0,0,0,0,0
42239,AiursoftWeb_Kahla.App_786,0,0,1,0,0,0,0,0,0,0,0,0,0
49670,AiursoftWeb_Kahla.App_790,0,0,1,0,0,0,0,0,0,0,0,0,0
36968,AiursoftWeb_Kahla.App_796,0,0,1,0,0,0,0,0,0,0,0,0,0
18338,AiursoftWeb_Kahla.App_8,0,0,1,0,0,0,0,0,0,0,0,0,0
10540,AiursoftWeb_Kahla.App_81,0,0,1,0,0,0,0,0,0,0,0,0,0
2561,AiursoftWeb_Kahla.App_83,0,0,1,0,0,0,0,0,0,0,0,0,0
88806,AiursoftWeb_Kahla.App_88,0,0,1,0,0,0,0,0,0,0,0,0,0
17088,AiursoftWeb_Kahla.App_90,0,0,1,0,0,0,0,0,0,0,0,0,0
15904,AiursoftWeb_Kahla.App_91,0,0,1,0,0,0,0,0,0,0,0,0,0
36501,AppSaloon_socket.io-tester_19,0,0,1,0,0,0,0,0,0,0,0,0,0
7265,AppSaloon_socket.io-tester_3,0,0,1,0,0,0,0,0,0,0,0,0,0
25849,AppSaloon_socket.io-tester_4,0,0,1,0,0,0,0,0,0,0,0,0,0
20326,AppSaloon_socket.io-tester_5,0,0,1,0,0,0,0,0,0,0,0,0,0
44695,Atraci_Atraci_18,0,0,1,0,0,0,0,0,0,0,0,0,0
69379,Atraci_Atraci_183,0,0,1,0,0,0,0,0,0,0,0,0,0
8138,Atraci_Atraci_270,0,0,1,0,0,0,0,0,0,0,0,0,0
24982,Atraci_Atraci_277,0,0,1,0,0,0,0,0,0,0,0,0,0
24840,Atraci_Atraci_50,0,0,1,0,0,0,0,0,0,0,0,0,0
75275,Automattic_simplenote-electron_102,0,0,1,0,0,0,0,0,0,0,0,0,0
51885,Automattic_simplenote-electron_11,0,0,1,0,0,0,0,0,0,0,0,0,0
68493,Automattic_simplenote-electron_114,0,0,1,0,0,0,0,0,0,0,0,0,0
68778,Automattic_simplenote-electron_115,0,0,1,0,0,0,0,0,0,0,0,0,0
62465,Automattic_simplenote-electron_1239,0,0,1,0,0,0,0,0,0,0,0,0,0
9329,Automattic_simplenote-electron_1291,0,0,1,0,0,0,0,0,0,0,0,0,0
98375,Automattic_simplenote-electron_1315,0,0,1,0,0,0,0,0,0,0,0,0,0
72348,Automattic_simplenote-electron_1410,0,0,1,0,0,0,0,0,0,0,0,0,0
16566,Automattic_simplenote-electron_143,0,0,1,0,0,0,0,0,0,0,0,0,0
51111,Automattic_simplenote-electron_1626,0,0,1,0,0,0,0,0,0,0,0,0,0
1621,Automattic_simplenote-electron_1641,0,0,1,0,0,0,0,0,0,0,0,0,0
81257,Automattic_simplenote-electron_165,0,0,1,0,0,0,0,0,0,0,0,0,0
90324,Automattic_simplenote-electron_1879,0,0,1,0,0,0,0,0,0,0,0,0,0
96357,Automattic_simplenote-electron_1897,0,0,1,0,0,0,0,0,0,0,0,0,0
72541,Automattic_simplenote-electron_19,0,0,1,0,0,0,0,0,0,0,0,0,0
79708,Automattic_simplenote-electron_207,0,0,1,0,0,0,0,0,0,0,0,0,0
100207,Automattic_simplenote-electron_404,0,0,1,0,0,0,0,0,0,0,0,0,0
22198,Automattic_simplenote-electron_431,0,0,1,0,0,0,0,0,0,0,0,0,0
48218,Automattic_simplenote-electron_446,0,0,1,0,0,0,0,0,0,0,0,0,0
98319,Automattic_simplenote-electron_46,0,0,1,0,0,0,0,0,0,0,0,0,0
50918,Automattic_simplenote-electron_527,0,0,1,0,0,0,0,0,0,0,0,0,0
18358,Automattic_simplenote-electron_547,0,0,1,0,0,0,0,0,0,0,0,0,0
18760,Automattic_simplenote-electron_584,0,0,1,0,0,0,0,0,0,0,0,0,0
88394,Automattic_simplenote-electron_629,0,0,1,0,0,0,0,0,0,0,0,0,0
46606,Automattic_simplenote-electron_730,0,0,1,0,0,0,0,0,0,0,0,0,0
6934,Automattic_simplenote-electron_972,0,0,1,0,0,0,0,0,0,0,0,0,0
84717,Automattic_simplenote-electron_979,0,0,1,0,0,0,0,0,0,0,0,0,0
79050,Automattic_simplenote-electron_993,0,0,1,0,0,0,0,0,0,0,0,0,0
35841,BoostIO_Boostnote_1182,0,0,1,0,0,0,0,0,0,0,0,0,0
8270,BoostIO_Boostnote_1320,0,0,1,0,0,0,0,0,0,0,0,0,0
60757,BoostIO_Boostnote_152,0,0,1,0,0,0,0,0,0,0,0,0,0
76974,BoostIO_Boostnote_1588,0,0,1,0,0,0,0,0,0,0,0,0,0
100864,BoostIO_Boostnote_1844,0,0,1,0,0,0,0,0,0,0,0,0,0
101167,BoostIO_Boostnote_1879,0,0,1,0,0,0,0,0,0,0,0,0,0
87555,BoostIO_Boostnote_1881,0,0,1,0,0,0,0,0,0,0,0,0,0
10606,BoostIO_Boostnote_1889,0,0,1,0,0,0,0,0,0,0,0,0,0
45194,BoostIO_Boostnote_1958,0,0,1,0,0,0,0,0,0,0,0,0,0
72819,BoostIO_Boostnote_2043,0,0,1,0,0,0,0,0,0,0,0,0,0
96146,BoostIO_Boostnote_2142,0,0,1,0,0,0,0,0,0,0,0,0,0
58584,BoostIO_Boostnote_2245,0,0,1,0,0,0,0,0,0,0,0,0,0
56155,BoostIO_Boostnote_2331,0,0,1,0,0,0,0,0,0,0,0,0,0
81714,BoostIO_Boostnote_2391,0,0,1,0,0,0,0,0,0,0,0,0,0
17256,BoostIO_Boostnote_2413,0,0,1,0,0,0,0,0,0,0,0,0,0
91587,BoostIO_Boostnote_2553,0,0,1,0,0,0,0,0,0,0,0,0,0
22152,BoostIO_Boostnote_2834,0,0,1,0,0,0,0,0,0,0,0,0,0
21075,BoostIO_Boostnote_2968,0,0,1,0,0,0,0,0,0,0,0,0,0
23689,BoostIO_Boostnote_3040,0,0,1,0,0,0,0,0,0,0,0,0,0
22523,BoostIO_Boostnote_3041,0,0,1,0,0,0,0,0,0,0,0,0,0
22364,BoostIO_Boostnote_3069,0,0,1,0,0,0,0,0,0,0,0,0,0
19559,BoostIO_Boostnote_3123,0,0,1,0,0,0,0,0,0,0,0,0,0
18701,BoostIO_Boostnote_3321,0,0,1,0,0,0,0,0,0,0,0,0,0
8043,BoostIO_Boostnote_3494,0,0,1,0,0,0,0,0,0,0,0,0,0
86713,BoostIO_Boostnote_3502,0,0,1,0,0,0,0,0,0,0,0,0,0
50778,BoostIO_Boostnote_53,0,0,1,0,0,0,0,0,0,0,0,0,0
65776,BoostIO_Boostnote_547,0,0,1,0,0,0,0,0,0,0,0,0,0
71648,BoostIO_Boostnote_552,0,0,1,0,0,0,0,0,0,0,0,0,0
87161,BoostIO_Boostnote_694,0,0,1,0,0,0,0,0,0,0,0,0,0
58102,BoostIO_Boostnote_742,0,0,1,0,0,0,0,0,0,0,0,0,0
15443,BoostIO_Boostnote_854,0,0,1,0,0,0,0,0,0,0,0,0,0
73263,BoostIO_Boostnote_975,0,0,1,0,0,0,0,0,0,0,0,0,0
16337,DextApp_dext_13,0,0,1,0,0,0,0,0,0,0,0,0,0
49545,DextApp_dext_202,0,0,1,0,0,0,0,0,0,0,0,0,0
79836,DokiDokiModManager_Mod-Manager_6,0,0,1,0,0,0,0,0,0,0,0,0,0
37784,DokiDokiModManager_Mod-Manager_62,0,0,1,0,0,0,0,0,0,0,0,0,0
83438,DokiDokiModManager_Mod-Manager_7,0,0,1,0,0,0,0,0,0,0,0,0,0
96432,Dyalog_ride_104,0,0,1,0,0,0,0,0,0,0,0,0,0
8151,Dyalog_ride_109,0,0,1,0,0,0,0,0,0,0,0,0,0
53858,Dyalog_ride_148,0,0,1,0,0,0,0,0,0,0,0,0,0
60351,Dyalog_ride_177,0,0,1,0,0,0,0,0,0,0,0,0,0
42669,Dyalog_ride_225,0,0,1,0,0,0,0,0,0,0,0,0,0
10224,Dyalog_ride_242,0,0,1,0,0,0,0,0,0,0,0,0,0
94608,Dyalog_ride_267,0,0,1,0,0,0,0,0,0,0,0,0,0
37798,Dyalog_ride_27,0,0,1,0,0,0,0,0,0,0,0,0,0
98581,Dyalog_ride_310,0,0,1,0,0,0,0,0,0,0,0,0,0
6053,Dyalog_ride_321,0,0,1,0,0,0,0,0,0,0,0,0,0
20537,Dyalog_ride_325,0,0,1,0,0,0,0,0,0,0,0,0,0
51725,Dyalog_ride_347,0,0,1,0,0,0,0,0,0,0,0,0,0
59468,Dyalog_ride_361,0,0,1,0,0,0,0,0,0,0,0,0,0
77611,Dyalog_ride_400,0,0,1,0,0,0,0,0,0,0,0,0,0
46675,Dyalog_ride_420,0,0,1,0,0,0,0,0,0,0,0,0,0
19050,Dyalog_ride_455,0,0,1,0,0,0,0,0,0,0,0,0,0
97190,Dyalog_ride_474,0,0,1,0,0,0,0,0,0,0,0,0,0
13463,Dyalog_ride_483,0,0,1,0,0,0,0,0,0,0,0,0,0
75350,Dyalog_ride_548,0,0,1,0,0,0,0,0,0,0,0,0,0
8493,Dyalog_ride_79,0,0,1,0,0,0,0,0,0,0,0,0,0
84469,EragonJ_Kaku_281,0,0,1,0,0,0,0,0,0,0,0,0,0
9209,EragonJ_Kaku_315,0,0,1,0,0,0,0,0,0,0,0,0,0
55074,EragonJ_Kaku_340,0,0,1,0,0,0,0,0,0,0,0,0,0
54907,EragonJ_Kaku_354,0,0,1,0,0,0,0,0,0,0,0,0,0
4016,EragonJ_Kaku_465,0,0,1,0,0,0,0,0,0,0,0,0,0
102931,EragonJ_Kaku_48,0,0,1,0,0,0,0,0,0,0,0,0,0
78064,EragonJ_Kaku_542,0,0,1,0,0,0,0,0,0,0,0,0,0
99235,EragonJ_Kaku_61,0,0,1,0,0,0,0,0,0,0,0,0,0
44819,Eugeny_terminus_117,0,0,1,0,0,0,0,0,0,0,0,0,0
53338,Eugeny_terminus_131,0,0,1,0,0,0,0,0,0,0,0,0,0
96917,Eugeny_terminus_169,0,0,1,0,0,0,0,0,0,0,0,0,0
51187,Eugeny_terminus_1958,0,0,1,0,0,0,0,0,0,0,0,0,0
72940,Eugeny_terminus_1987,0,0,1,0,0,0,0,0,0,0,0,0,0
34961,Eugeny_terminus_30,0,0,1,0,0,0,0,0,0,0,0,0,0
45782,Eugeny_terminus_329,0,0,1,0,0,0,0,0,0,0,0,0,0
26128,Eugeny_terminus_413,0,0,1,0,0,0,0,0,0,0,0,0,0
6947,Eugeny_terminus_428,0,0,1,0,0,0,0,0,0,0,0,0,0
52114,Eugeny_terminus_464,0,0,1,0,0,0,0,0,0,0,0,0,0
72476,Eugeny_terminus_493,0,0,1,0,0,0,0,0,0,0,0,0,0
74344,Eugeny_terminus_518,0,0,1,0,0,0,0,0,0,0,0,0,0
75619,Eugeny_terminus_531,0,0,1,0,0,0,0,0,0,0,0,0,0
