
 ------------------------------------------------------------------------------------------------------------------mean------------------------------------------------------------------------------------------------------------------ 
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       s_10            51299.1           9.37568             5.4            -823.90869          4.3365           1.47439          142.39117          0.00035           0.58271            0.4983           0.69373           0.54107       
       s_11          46635.54545         9.31106           5.30909          -814.28089         4.33827           1.48595          138.17615          0.00032           0.58909           0.51088            0.6975            0.517        
       s_12            42749.25          9.28987             5.3            -832.91288         4.39954           1.55654          126.03444          0.00031           0.57103           0.47911           0.67673           0.52702       
       s_13          39460.84615         9.20249           5.40769          -820.56667         4.43169           1.59798          123.12396          0.00029           0.57322            0.4767            0.6749           0.51271       
       s_14          36642.21429         9.14326           5.23571          -828.0199          4.47032           1.65111           122.7214          0.00029           0.56965            0.4705           0.67147           0.50398       
       s_15            34199.4           9.12938           5.31333          -817.71571         4.47765           1.62973          122.72424          0.00034           0.56425           0.46739            0.671            0.48291       
       s_16           32061.9375         9.04959           5.34062          -842.18587         4.53324           1.68849          115.05578          0.00031           0.55717           0.45974           0.66201           0.46365       
       s_17          30175.94118         8.99572           5.34118          -830.18725         4.56474           1.74211          108.81677           0.0004           0.55469           0.45364           0.65588           0.46768       
       s_18            28499.5           8.87908           5.49722          -848.51573         4.66058           1.84229          103.59612          0.00049           0.55778           0.46037           0.66036           0.48562       
       s_19          26999.52632         8.85632           5.40263          -828.44097         4.67874            1.8459          105.66639          0.00042           0.55655           0.45557           0.65796           0.47027       
       s_20            25649.55          8.86942            5.2975          -829.6624          4.59704           1.84598          110.09737           0.0005           0.54244           0.43919           0.64927           0.46622       
       s_25            20519.64          8.71467            5.328           -846.33883         4.81208           1.99746           85.17917          0.00038           0.51394            0.3991           0.59851           0.43022       
       s_30            17099.7            8.539            5.44333          -870.25393         4.94211           2.16303           73.27022          0.00057           0.50147           0.38519           0.57741           0.40172       
       s_35          14656.88571         8.34791           5.52571          -886.59028         5.11642           2.31034           70.09711          0.00054           0.50279           0.37941            0.5727           0.41101       
       s_40           12824.775          8.28568           5.50125          -860.44038         5.12498           2.35046           69.25458          0.00046           0.49611           0.36794           0.56572           0.37186       
       s_45            11399.8           8.13782           5.44333          -903.13272         5.26244            2.5165           60.6951           0.00043           0.48304           0.35569           0.55241           0.38038       
       s_50            10259.82           8.0698            5.475           -895.3165          5.30018           2.56074           58.35314          0.00063           0.48492           0.34848           0.54895           0.36624       


