,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0,13476243,0,0,0,0,0,0,0,0,0,0,0,0
1,13497037,0,0,0,0,0,0,0,0,0,0,0,0
2,13726877,0,0,0,0,0,0,0,0,0,1,0,0
3,13783542,0,0,0,0,0,0,0,0,1,0,0,0
4,14016933,0,0,0,0,1,0,0,0,0,0,0,0
5,14146922,0,0,0,0,0,0,0,1,0,0,0,0
6,14181127,0,0,0,0,0,0,0,0,0,0,0,0
7,14515105,0,0,0,0,1,0,0,0,0,0,0,0
8,14719264,0,0,0,0,0,0,0,1,0,0,0,0
9,14799035,0,0,0,0,0,0,0,0,0,0,0,0
10,15419985,0,0,0,0,1,0,0,0,0,0,0,0
11,15549415,0,0,0,0,0,0,0,1,0,0,0,0
12,15607111,0,0,0,0,0,0,0,0,0,1,0,0
13,15628966,0,0,0,0,0,0,0,0,0,0,0,0
14,16029897,0,0,0,0,0,0,1,0,0,0,0,0
15,16248536,0,0,0,0,0,0,0,0,0,1,0,0
16,16296381,0,0,0,0,0,0,0,0,0,0,0,0
17,16303838,0,0,0,0,0,0,0,0,0,0,0,0
18,16311204,0,0,0,0,0,0,0,0,0,0,0,1
19,16434533,0,0,1,0,0,0,0,0,0,0,0,0
20,16464727,0,0,0,0,0,0,0,0,0,0,1,0
21,16471607,0,0,0,0,0,0,0,0,0,0,0,1
22,16494932,0,0,0,0,1,0,0,0,0,0,0,0
23,16530411,0,1,0,0,0,0,0,0,0,0,0,0
24,16710788,0,0,0,0,0,0,0,0,0,0,0,0
25,16723887,0,0,0,0,0,0,0,0,0,0,0,1
26,16756694,0,0,0,0,0,0,0,0,0,0,0,1
27,16799224,0,0,0,0,0,0,0,0,0,0,0,1
28,16875073,0,0,0,0,0,0,0,0,0,0,0,0
29,16920758,0,0,0,0,0,0,1,0,0,0,0,0
30,16926974,0,1,0,0,0,0,0,0,0,0,0,0
31,17012095,0,0,0,0,0,0,0,0,0,0,0,0
32,17116509,0,0,0,0,0,0,0,0,0,0,0,0
33,17171883,0,0,0,0,0,0,0,0,0,0,0,0
34,17182868,0,1,0,0,0,0,0,0,0,0,0,0
35,17216595,0,0,0,0,0,0,1,0,0,0,0,0
36,17278087,0,0,0,0,0,0,0,0,0,0,0,1
37,17286756,0,0,0,0,0,0,0,0,0,0,0,0
38,17350092,0,0,0,0,0,0,0,0,0,0,0,0
39,17392811,0,0,0,0,0,0,0,1,0,0,0,0
40,17394305,0,0,0,0,0,0,1,0,0,0,0,0
41,17416547,0,0,0,0,0,0,0,0,0,0,0,0
42,17492981,0,0,0,0,0,0,0,0,0,0,0,0
43,17535747,0,0,0,0,0,0,0,0,0,0,0,0
44,17537851,0,0,0,0,0,0,0,0,0,0,0,0
45,17558126,0,1,0,0,0,0,0,0,0,0,0,0
46,17560445,0,0,0,0,0,0,1,0,0,0,0,0
47,17633201,0,0,0,0,0,0,0,0,1,0,0,0
48,17814799,0,0,0,0,0,0,0,0,1,0,0,0
49,17944504,0,0,0,0,0,0,0,0,0,0,0,0
50,17983214,0,0,0,0,0,0,0,0,0,0,0,0
51,17984710,0,0,0,0,0,0,0,0,1,0,0,0
52,18094029,0,1,0,0,0,0,0,0,0,0,0,0
53,18121790,0,0,0,0,0,0,0,0,0,0,0,0
54,18183882,0,1,0,0,0,0,0,0,0,0,0,0
55,18245783,0,1,0,0,0,0,0,0,0,0,0,0
56,18248130,0,1,0,0,0,0,0,0,0,0,0,0
57,18291476,0,0,0,0,1,0,0,0,0,0,0,0
58,18328827,0,0,0,0,0,0,0,0,0,0,0,0
59,18391481,0,0,0,0,0,0,0,0,1,0,0,0
