,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
6821,13476243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8270,13497037,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8333,13726877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,13783542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4700,14016933,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7155,14146922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5262,14181127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,14515105,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7105,14719264,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2055,14799035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,15419985,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10142,15549415,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10510,15607111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8183,15628966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,16029897,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3460,16248536,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8634,16296381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,16303838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8400,16311204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6620,16434533,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5359,16464727,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1459,16471607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,16494932,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4799,16530411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6860,16710788,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2069,16723887,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6459,16756694,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6406,16799224,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3274,16875073,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,16920758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7199,16926974,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2643,17012095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5351,17116509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9680,17171883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10264,17182868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,17216595,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3951,17278087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5714,17286756,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3934,17350092,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9448,17392811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
418,17394305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9411,17416547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3884,17492981,0,0,0,1,0,0,0,0,0,0,0,0,0,0
382,17535747,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6468,17537851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2766,17558126,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3524,17560445,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1988,17633201,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2795,17814799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9840,17944504,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5901,17983214,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1041,17984710,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3546,18094029,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1256,18121790,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10807,18183882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,18245783,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6416,18248130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4459,18291476,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7964,18328827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7136,18391481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10536,18423790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4658,18439372,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8744,18558737,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,18566016,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10071,18566634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
