,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
4700,14016933,0,0,0,0,1,0,0,0,0,0,0,0,0,0
557,15419985,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2062,16029897,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1757,16494932,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4459,18291476,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4065,18655981,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10619,18783944,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9144,19056567,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5085,19323878,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10216,21826407,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2753,22695072,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4896,23143190,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9247,23236041,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5956,23458776,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5692,23659374,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1685,23966094,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9886,24586590,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7312,25040913,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7523,25135963,0,0,0,0,1,0,0,0,0,0,0,0,0,0
672,25391967,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3255,25393493,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1353,25501866,0,0,0,0,1,0,0,0,0,0,0,0,0,0
707,25641569,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6874,25758043,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,26594907,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3618,26765271,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1013,26936078,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2772,27144245,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1065,27272470,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8926,27357954,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9232,27396066,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3865,27402813,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8975,27480258,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7220,27773247,0,0,0,0,1,0,0,0,0,0,0,0,0,0
594,27776227,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3822,27897926,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1081,28207124,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2128,28529324,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2692,28603922,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4146,28622097,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8411,28763474,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4381,29132269,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5682,29140431,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6072,29165061,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6271,29761076,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1558,30178923,0,0,0,0,1,0,0,0,0,0,0,0,0,0
659,30281732,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2314,30331618,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8713,30966410,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7339,30988221,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10545,31262149,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2739,31336402,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1732,31443315,0,0,0,0,1,0,0,0,0,0,0,0,0,0
513,31464419,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7725,31621024,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9223,31689442,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9198,31891614,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4118,31968355,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3123,31999988,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3374,32063117,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8578,32158738,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9524,32222826,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7081,32320475,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3661,32416179,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2074,32457222,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7602,32691670,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4746,32713849,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4457,32849755,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4335,33206792,0,0,0,0,1,0,0,0,0,0,0,0,0,0
