,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
5,14146922,0,0,0,0,0,0,0,1,0,0,0,0
8,14719264,0,0,0,0,0,0,0,1,0,0,0,0
11,15549415,0,0,0,0,0,0,0,1,0,0,0,0
39,17392811,0,0,0,0,0,0,0,1,0,0,0,0
85,19400421,0,0,0,0,0,0,0,1,0,0,0,0
88,19627591,0,0,0,0,0,0,0,1,0,0,0,0
94,19877028,0,0,0,0,0,0,0,1,0,0,0,0
109,20560258,0,0,0,0,0,0,0,1,0,0,0,0
122,21108598,0,0,0,0,0,0,0,1,0,0,0,0
141,21746570,0,0,0,0,0,0,0,1,0,0,0,0
166,22442275,0,0,0,0,0,0,0,1,0,0,0,0
169,22475590,0,0,0,0,0,0,0,1,0,0,0,0
171,22512267,0,0,0,0,0,0,0,1,0,0,0,0
205,23384524,0,0,0,0,0,0,0,1,0,0,0,0
250,24142099,0,0,0,0,0,0,0,1,0,0,0,0
255,24232534,0,0,0,0,0,0,0,1,0,0,0,0
256,24244261,0,0,0,0,0,0,0,1,0,0,0,0
267,24492100,0,0,0,0,0,0,0,1,0,0,0,0
287,24891647,0,0,0,0,0,0,0,1,0,0,0,0
310,25336641,0,0,0,0,0,0,0,1,0,0,0,0
388,26323620,0,0,0,0,0,0,0,1,0,0,0,0
402,26445797,0,0,0,0,0,0,0,1,0,0,0,0
434,26954116,0,0,0,0,0,0,0,1,0,0,0,0
435,26981110,0,0,0,0,0,0,0,1,0,0,0,0
465,27293339,0,0,0,0,0,0,0,1,0,0,0,0
489,27574596,0,0,0,0,0,0,0,1,0,0,0,0
500,27703918,0,0,0,0,0,0,0,1,0,0,0,0
529,28038873,0,0,0,0,0,0,0,1,0,0,0,0
538,28146407,0,0,0,0,0,0,0,1,0,0,0,0
550,28300192,0,0,0,0,0,0,0,1,0,0,0,0
592,28844052,0,0,0,0,0,0,0,1,0,0,0,0
597,28920621,0,0,0,0,0,0,0,1,0,0,0,0
602,28972140,0,0,0,0,0,0,0,1,0,0,0,0
620,29174755,0,0,0,0,0,0,0,1,0,0,0,0
652,29527330,0,0,0,0,0,0,0,1,0,0,0,0
658,29584514,0,0,0,0,0,0,0,1,0,0,0,0
660,29605151,0,0,0,0,0,0,0,1,0,0,0,0
676,29890548,0,0,0,0,0,0,0,1,0,0,0,0
692,30036216,0,0,0,0,0,0,0,1,0,0,0,0
693,30040574,0,0,0,0,0,0,0,1,0,0,0,0
696,30061007,0,0,0,0,0,0,0,1,0,0,0,0
701,30101537,0,0,0,0,0,0,0,1,0,0,0,0
719,30271951,0,0,0,0,0,0,0,1,0,0,0,0
737,30435065,0,0,0,0,0,0,0,1,0,0,0,0
748,30542185,0,0,0,0,0,0,0,1,0,0,0,0
749,30544027,0,0,0,0,0,0,0,1,0,0,0,0
819,31251883,0,0,0,0,0,0,0,1,0,0,0,0
822,31261760,0,0,0,0,0,0,0,1,0,0,0,0
838,31334594,0,0,0,0,0,0,0,1,0,0,0,0
843,31394689,0,0,0,0,0,0,0,1,0,0,0,0
873,31542129,0,0,0,0,0,0,0,1,0,0,0,0
876,31555484,0,0,0,0,0,0,0,1,0,0,0,0
877,31558874,0,0,0,0,0,0,0,1,0,0,0,0
899,31765427,0,0,0,0,0,0,0,1,0,0,0,0
913,31863617,0,0,0,0,0,0,0,1,0,0,0,0
924,31962017,0,0,0,0,0,0,0,1,0,0,0,0
959,32298500,0,0,0,0,0,0,0,1,0,0,0,0
967,32341862,0,0,0,0,0,0,0,1,0,0,0,0
999,32557557,0,0,0,0,0,0,0,1,0,0,0,0
1004,32612163,0,0,0,0,0,0,0,1,0,0,0,0
1010,32632198,0,0,0,0,0,0,0,1,0,0,0,0
1027,32780726,0,0,0,0,0,0,0,1,0,0,0,0
1091,33355170,0,0,0,0,0,0,0,1,0,0,0,0
1106,33474755,0,0,0,0,0,0,0,1,0,0,0,0
1114,33523171,0,0,0,0,0,0,0,1,0,0,0,0
1171,33899375,0,0,0,0,0,0,0,1,0,0,0,0
1172,33901830,0,0,0,0,0,0,0,1,0,0,0,0
1192,34064432,0,0,0,0,0,0,0,1,0,0,0,0
1195,34082801,0,0,0,0,0,0,0,1,0,0,0,0
1226,34303533,0,0,0,0,0,0,0,1,0,0,0,0
1267,34561484,0,0,0,0,0,0,0,1,0,0,0,0
1271,34596811,0,0,0,0,0,0,0,1,0,0,0,0
1289,34733540,0,0,0,0,0,0,0,1,0,0,0,0
1294,34777188,0,0,0,0,0,0,0,1,0,0,0,0
1316,34898257,0,0,0,0,0,0,0,1,0,0,0,0
1320,34905539,0,0,0,0,0,0,0,1,0,0,0,0
1341,35019166,0,0,0,0,0,0,0,1,0,0,0,0
1354,35088496,0,0,0,0,0,0,0,1,0,0,0,0
1372,35168171,0,0,0,0,0,0,0,1,0,0,0,0
1411,35447035,0,0,0,0,0,0,0,1,0,0,0,0
1447,35664688,0,0,0,0,0,0,0,1,0,0,0,0
1501,35962868,0,0,0,0,0,0,0,1,0,0,0,0
1543,36103547,0,0,0,0,0,0,0,1,0,0,0,0
1553,36139562,0,0,0,0,0,0,0,1,0,0,0,0
1575,36239965,0,0,0,0,0,0,0,1,0,0,0,0
1582,36301360,0,0,0,0,0,0,0,1,0,0,0,0
1596,36369462,0,0,0,0,0,0,0,1,0,0,0,0
1606,36406172,0,0,0,0,0,0,0,1,0,0,0,0
1608,36423183,0,0,0,0,0,0,0,1,0,0,0,0
1610,36437717,0,0,0,0,0,0,0,1,0,0,0,0
1631,36547966,0,0,0,0,0,0,0,1,0,0,0,0
1648,36626181,0,0,0,0,0,0,0,1,0,0,0,0
1655,36681433,0,0,0,0,0,0,0,1,0,0,0,0
1666,36710185,0,0,0,0,0,0,0,1,0,0,0,0
1706,36916241,0,0,0,0,0,0,0,1,0,0,0,0
1708,36925692,0,0,0,0,0,0,0,1,0,0,0,0
1723,37014416,0,0,0,0,0,0,0,1,0,0,0,0
1732,37056747,0,0,0,0,0,0,0,1,0,0,0,0
1749,37144314,0,0,0,0,0,0,0,1,0,0,0,0
1775,37272556,0,0,0,0,0,0,0,1,0,0,0,0
1785,37317818,0,0,0,0,0,0,0,1,0,0,0,0
1838,37523569,0,0,0,0,0,0,0,1,0,0,0,0
1856,37602759,0,0,0,0,0,0,0,1,0,0,0,0
1869,37625327,0,0,0,0,0,0,0,1,0,0,0,0
1877,37675229,0,0,0,0,0,0,0,1,0,0,0,0
1930,37913193,0,0,0,0,0,0,0,1,0,0,0,0
1932,37915921,0,0,0,0,0,0,0,1,0,0,0,0
1940,37960930,0,0,0,0,0,0,0,1,0,0,0,0
1968,38063800,0,0,0,0,0,0,0,1,0,0,0,0
1975,38103677,0,0,0,0,0,0,0,1,0,0,0,0
1985,38165850,0,0,0,0,0,0,0,1,0,0,0,0
1995,38198459,0,0,0,0,0,0,0,1,0,0,0,0
2067,38481259,0,0,0,0,0,0,0,1,0,0,0,0
2068,38486945,0,0,0,0,0,0,0,1,0,0,0,0
2077,38517098,0,0,0,0,0,0,0,1,0,0,0,0
2108,38633443,0,0,0,0,0,0,0,1,0,0,0,0
2143,38745341,0,0,0,0,0,0,0,1,0,0,0,0
2159,38777258,0,0,0,0,0,0,0,1,0,0,0,0
2163,38797687,0,0,0,0,0,0,0,1,0,0,0,0
2214,38962385,0,0,0,0,0,0,0,1,0,0,0,0
2217,38971485,0,0,0,0,0,0,0,1,0,0,0,0
2235,39022538,0,0,0,0,0,0,0,1,0,0,0,0
2241,39047110,0,0,0,0,0,0,0,1,0,0,0,0
2265,39144612,0,0,0,0,0,0,0,1,0,0,0,0
2267,39154224,0,0,0,0,0,0,0,1,0,0,0,0
2277,39177116,0,0,0,0,0,0,0,1,0,0,0,0
2293,39219340,0,0,0,0,0,0,0,1,0,0,0,0
2317,39299935,0,0,0,0,0,0,0,1,0,0,0,0
2351,39422300,0,0,0,0,0,0,0,1,0,0,0,0
2360,39454124,0,0,0,0,0,0,0,1,0,0,0,0
2372,39495991,0,0,0,0,0,0,0,1,0,0,0,0
2381,39533777,0,0,0,0,0,0,0,1,0,0,0,0
2415,39633707,0,0,0,0,0,0,0,1,0,0,0,0
2418,39639766,0,0,0,0,0,0,0,1,0,0,0,0
2422,39660752,0,0,0,0,0,0,0,1,0,0,0,0
2427,39678147,0,0,0,0,0,0,0,1,0,0,0,0
2438,39704229,0,0,0,0,0,0,0,1,0,0,0,0
2444,39730310,0,0,0,0,0,0,0,1,0,0,0,0
2475,39831261,0,0,0,0,0,0,0,1,0,0,0,0
2538,40096563,0,0,0,0,0,0,0,1,0,0,0,0
2547,40145460,0,0,0,0,0,0,0,1,0,0,0,0
2552,40166912,0,0,0,0,0,0,0,1,0,0,0,0
2558,40196919,0,0,0,0,0,0,0,1,0,0,0,0
2562,40207065,0,0,0,0,0,0,0,1,0,0,0,0
2564,40210042,0,0,0,0,0,0,0,1,0,0,0,0
2567,40219149,0,0,0,0,0,0,0,1,0,0,0,0
2571,40248844,0,0,0,0,0,0,0,1,0,0,0,0
2661,40477794,0,0,0,0,0,0,0,1,0,0,0,0
2676,40517255,0,0,0,0,0,0,0,1,0,0,0,0
2727,40688173,0,0,0,0,0,0,0,1,0,0,0,0
2732,40700735,0,0,0,0,0,0,0,1,0,0,0,0
2776,40858266,0,0,0,0,0,0,0,1,0,0,0,0
2785,40878197,0,0,0,0,0,0,0,1,0,0,0,0
2791,40903677,0,0,0,0,0,0,0,1,0,0,0,0
2838,41068295,0,0,0,0,0,0,0,1,0,0,0,0
2843,41086973,0,0,0,0,0,0,0,1,0,0,0,0
2885,41226307,0,0,0,0,0,0,0,1,0,0,0,0
