
 ------------------------------------------------------------------------------------------------------------------mean------------------------------------------------------------------------------------------------------------------ 
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        10              4935.2           7.43307            5.985           -854.1769          3.29338           1.64856           91.20724           8e-05            0.51178           0.39407            0.6027           0.57122       
        11            4486.54545         7.35901           6.09545          -879.99565         3.38307            1.7491           80.59864           8e-05            0.50475           0.37886           0.58566           0.58704       
        12            4112.66667          7.2667           6.04583          -885.15404          3.4282           1.84567           78.05378           7e-05            0.49371           0.36383           0.57047           0.59902       
        13            3796.30769         7.15476           6.05385          -890.83675         3.45784           1.94614           83.32105          0.00011            0.4916           0.36952           0.57587           0.58148       
        14            3525.14286         7.12229           6.14286          -880.58166         3.56897            1.986            69.63431           8e-05            0.47975           0.33501           0.55165           0.55162       
        15            3290.13333         7.03777           6.23667          -901.01115         3.61337           2.08203           68.10053           9e-05            0.47583           0.31611           0.55108            0.5716       
        16              3084.5           6.93723           6.06875          -896.50163         3.63696           2.13061           71.60269           9e-05            0.49572           0.32015           0.55256           0.54581       
        17            2903.05882         6.90179           6.17941          -913.04466         3.69921           2.20487           65.31481           9e-05            0.47771           0.28188           0.53611           0.56416       
        18            2741.77778         6.89081           6.03333          -913.79772         3.76325           2.20348           62.96769           9e-05            0.47444           0.26497           0.53557           0.53339       
        19            2597.47368         6.80926           6.05789          -926.65716         3.74182           2.27705           67.29852          0.00016           0.47626           0.26068           0.53315           0.54857       
        20              2467.6           6.79388            6.1175          -930.45042         3.86377           2.29431           55.04055           8e-05            0.46231            0.2394           0.52281           0.52138       
        25             1974.08           6.55452            6.146           -966.6347          4.05027           2.57876           48.89264           8e-05            0.45884           0.20634           0.50828           0.54218       
        30            1645.06667         6.39445             6.29           -975.08427         4.19198           2.72626           43.56587          0.00012           0.44941           0.19258           0.49596           0.53463       
        35            1410.05714         6.30365           6.35857          -994.83272         4.31903           2.83366           38.85287          0.00011           0.43631           0.17396           0.46922           0.51165       
        40              1233.8           6.16789            6.2525         -1004.19245         4.40584           2.94412           37.67209          0.00014           0.43274            0.1689           0.45968           0.49898       
        45            1096.71111         6.03413           6.35889         -1022.08949         4.50734            3.0905           34.60136          0.00014           0.43298           0.16239           0.42922            0.4995       
        50              987.04           5.88936            6.447          -1037.28496         4.56732           3.23872           33.48676          0.00018           0.41994           0.15916           0.42844           0.51334       


 -------------------------------------------------------------------------------------------------------------------sd------------------------------------------------------------------------------------------------------------------- 
