,name,folderName,dependencies,devDependencies,peerDependencies,bundledDependencies,optionalDependencies
0,Kap,wulkano_kap,"['@ffmpeg-installer/ffmpeg', '@sentry/browser', '@sentry/electron', '@sindresorhus/do-not-disturb', '@sindresorhus/to-milliseconds', 'ajv', 'aperture', 'base64-img', 'classnames', 'delay', 'electron-better-ipc', 'electron-log', 'electron-next', 'electron-notarize', 'electron-store', 'electron-updater', 'electron-util', 'ensure-error', 'execa', 'file-icon', 'first-run', 'got', 'hide-desktop-icons', 'insight', 'lodash', 'mac-open-with', 'mac-screen-capture-permissions', 'mac-windows', 'macos-version', 'make-dir', 'moment', 'move-file', 'nearest-normal-aspect-ratio', 'node-mac-app-icon', 'p-cancelable', 'p-event', 'package-json', 'pify', 'plist', 'pretty-ms', 'prop-types', 'react', 'react-dom', 'react-linkify', 'semver', 'string-math', 'tempy', 'tildify', 'tmp', 'unstated', 'yarn']","['babel-eslint', 'electron', 'electron-builder', 'electron-builder-notarize', 'eslint-config-xo-react', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'husky', 'next', 'xo']",,,
1,Streamlabs OBS,stream-labs_streamlabs-obs,"['@streamlabs/game-overlay', 'archiver', 'aws-sdk', 'crash-handler', 'electron-log', 'electron-window-state', 'extract-zip', 'facemask-plugin', 'font-manager', 'node-fontinfo', 'node-libuiohook', 'obs-studio-node', 'raven', 'request', 'rimraf', 'semver', 'socket.io-client', 'tasklist', 'uuid']","['7zip-bin', '@babel/core', '@babel/plugin-proposal-decorators', '@babel/preset-env', '@octokit/app', '@octokit/request', '@octokit/rest', '@sentry/browser', '@sentry/integrations', '@types/archiver', '@types/classnames', '@types/extract-zip', '@types/fs-extra', '@types/humps', '@types/lodash', '@types/mime', '@types/mkdirp', '@types/node', '@types/request', '@types/semver', '@types/socket.io-client', '@types/uuid', '@types/webdriverio', '@vue/babel-helper-vue-jsx-merge-props', '@vue/babel-preset-jsx', '@xkeshi/vue-qrcode', 'ava', 'awesome-typescript-loader', 'babel-helper-vue-jsx-merge-props', 'babel-loader', 'babel-plugin-syntax-jsx', 'babel-plugin-transform-class-properties', 'babel-plugin-transform-decorators-legacy', 'classnames', 'css-element-queries', 'css-loader', 'devtron', 'dotenv', 'electron', 'electron-builder', 'electron-devtools-installer', 'fetch-mock', 'file-loader', 'fuse.js', 'hard-source-webpack-plugin', 'humps', 'js-yaml', 'less', 'less-loader', 'lodash', 'lodash-decorators', 'mark.js', 'mime', 'moment', 'node-win32-np', 'pixelmatch', 'pngjs', 'prettier', 'progress', 'raw-loader', 'recursive-readdir', 'reflect-metadata', 'rxjs', 'serve-handler', 'sl-vue-tree', 'sockjs', 'sockjs-client', 'spectron', 'streamlabs-beaker', 'style-loader', 'stylelint', 'stylelint-config-css-modules', 'stylelint-config-standard', 'terser-webpack-plugin', 'traverse', 'ts-node', 'tslint', 'tslint-config-airbnb', 'tslint-config-prettier', 'tslint-loader', 'tslint-plugin-prettier', 'typescript', 'urijs', 'v-selectpage', 'v-tooltip', 'vee-validate', 'vue', 'vue-codemirror', 'vue-color', 'vue-i18n', 'vue-js-modal', 'vue-loader', 'vue-multiselect', 'vue-popperjs', 'vue-property-decorator', 'vue-resize', 'vue-spinner', 'vue-template-compiler', 'vue-toasted', 'vue-tsx-support', 'vuedraggable', 'vuex', 'webdriverio', 'webpack', 'webpack-cli', 'webpack-merge']",,,
2,kalk,monsterkodi_kalk,,,,,
3,Ling,talhasch_ling,,"['chai', 'electron', 'electron-builder', 'electron-mocha', 'fs-jetpack', 'gulp', 'gulp-batch', 'gulp-plumber', 'gulp-sass', 'gulp-util', 'gulp-watch', 'mocha', 'rollup', 'source-map-support', 'spectron', 'yargs']",,,
4,Kube Forwarder,pixel-point_kube-forwarder,,,,,
5,Twinkle Tray,xanderfrangos_twinkle-tray,"['@hensm/ddcci', 'color', 'electron-winstore-auto-launch', 'markdown', 'node-fetch', 'regedit', 'wmi-client']","['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-react', 'concurrently', 'cross-env', 'electron', 'electron-is-dev', 'electron-builder', 'parcel-bundler', 'react', 'react-beautiful-dnd', 'react-dom', 'sass', 'wait-on']",,,
6,Calcy,VarunDevPro_calcy,,"['electron', 'electron-builder']",,,
7,Quickwords,quickwords_quickwords,"['auto-launch', 'brace', 'electron-is-dev', 'electron-store', 'fix-path', 'iohook', 'lodash', 'native-keymap', 'node-fetch', 'robotjs', 'vue', 'vue-emoji-picker', 'vue-router', 'vuex', 'webpack-merge']","['@vue/devtools', 'cross-env', 'electron', 'electron-builder', 'eslint', 'eslint-plugin-vue', 'glob-all', 'laravel-mix', 'mocha', 'node-sass', 'purgecss-webpack-plugin', 'tailwindcss']",,,
8,bunqDesktop,bunqCommunity_bunqDesktop,"['electron-localshortcut', 'electron-log', 'electron-settings', 'fs-jetpack', 'glob', 'i18next', 'i18next-xhr-backend', 'upath']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-do-expressions', '@babel/plugin-proposal-export-default-from', '@babel/plugin-proposal-export-namespace-from', '@babel/plugin-proposal-function-bind', '@babel/plugin-proposal-function-sent', '@babel/plugin-proposal-json-strings', '@babel/plugin-proposal-logical-assignment-operators', '@babel/plugin-proposal-nullish-coalescing-operator', '@babel/plugin-proposal-numeric-separator', '@babel/plugin-proposal-optional-chaining', '@babel/plugin-proposal-pipeline-operator', '@babel/plugin-proposal-throw-expressions', '@babel/plugin-syntax-dynamic-import', '@babel/plugin-syntax-import-meta', '@babel/plugin-transform-react-constant-elements', '@babel/plugin-transform-react-inline-elements', '@babel/plugin-transform-react-jsx-source', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-react', '@bunq-community/bunq-js-client', '@bunq-community/bunqdesktop-templates', '@fortawesome/fontawesome-free', '@material-ui/core', '@material-ui/icons', '@material-ui/lab', '@types/jest', '@types/moxios', '@types/node', '@types/react-i18next', 'animate.css', 'awaiting', 'axios', 'babel-loader', 'babel-plugin-dynamic-import-node', 'babel-plugin-react-html-attrs', 'babel-plugin-system-import-transformer', 'chart.js', 'clean-webpack-plugin', 'cross-env', 'css-loader', 'csv-parse', 'date-fns', 'dotenv', 'electron', 'electron-builder', 'electron-devtools-installer', 'electron-reload', 'email-validator', 'enzyme', 'enzyme-adapter-react-16', 'file-loader', 'gulp', 'gulp-batch', 'gulp-util', 'gulp-watch', 'hard-source-webpack-plugin', 'html-webpack-plugin', 'iban', 'increase-memory-limit', 'jest', 'libphonenumber-js', 'localforage', 'loglevel', 'material-ui-pickers', 'mini-css-extract-plugin', 'minimist', 'mocha', 'natives', 'node-forge', 'node-sass', 'prettier', 'prop-types', 'qrcode.react', 'react', 'react-chartjs-2', 'react-color', 'react-copy-to-clipboard', 'react-dom', 'react-helmet', 'react-i18next', 'react-json-view', 'react-loadable', 'react-map-gl', 'react-number-format', 'react-redux', 'react-router', 'react-router-dom', 'react-spring', 'react-sticky-box', 'react-test-renderer', 'react-visibility-sensor', 'react-windowed-list', 'redux', 'redux-form', 'redux-mock-store', 'redux-thunk', 'rollup', 'rollup-plugin-istanbul', 'sass-loader', 'source-map-support', 'spectron', 'store', 'style-loader', 'ts-jest', 'ts-loader', 'typeface-roboto', 'typescript', 'uglifyjs-webpack-plugin', 'universal-analytics', 'vcf', 'webpack', 'webpack-bundle-analyzer', 'webpack-cli', 'worker-loader']",,,
9,PaperCubes,FlorianFe_PaperCubes,"['handlebars', 'nbt', 'ndarray', 'ndarray-show', 'unzip']","['electron', 'electron-builder', 'ncp', 'node-gyp']",,,
