,name,description,website,repository,category,license,isOnGit,firstCommitDate,lastCommitDate,firstCommitDateReadable,lastCommitDatereadable,stars,watchers,forks,commits,branches,releases,langs,tags,folderName,issueCount
0,(Un)colored,"Next generation desktop rich content editor that saves documents with themes. HTML & Markdown compatible. For Windows, OS X & Linux.",https://n457.github.io/Uncolored/,https://github.com/n457/Uncolored,Productivity,Apache License 2.0,1,1473347925,1579837920,2016-09-08 15:18:45,2020-01-24 03:52:00,708,41,47,27,2,7,"{'HTML': 11351730, 'JavaScript': 157682, 'CSS': 100513, 'Shell': 126, 'Batchfile': 64}","['editor', 'wysiwyg', 'rich-text-editor', 'rich-content', 'themes', 'html', 'electron']",n457_Uncolored,48
1,Abricotine,Open-source Markdown editor built for desktop,https://abricotine.brrd.fr/,https://github.com/brrd/Abricotine,Productivity,0,1,1482856744,1520193435,2016-12-27 16:39:04,2018-03-04 19:57:15,2035,51,146,580,3,12,"{'JavaScript': 157288, 'CSS': 39292, 'HTML': 7436}","['markdown', 'markdown-editor', 'text-editor', 'inline-preview', 'electron-app', 'abricotine', 'gfm']",brrd_Abricotine,229
2,Advanced REST Client,REST client application for developers,https://install.advancedrestclient.com,https://github.com/advanced-rest-client/arc-electron,Developer Tools,Apache-2.0,1,1507252795,1580338757,2017-10-06 01:19:55,2020-01-29 22:59:17,688,41,112,922,9,91,"{'JavaScript': 438351, 'CSS': 33007, 'HTML': 8016, 'Shell': 3511, 'Python': 2188, 'Batchfile': 612}",[],advanced-rest-client_arc-electron,218
3,AiTing,A simple and beautiful music and book player.,https://renhongl.github.io/2017/01/21/%E7%88%B1%E5%90%AC%E6%92%AD%E6%94%BE%E5%99%A8/,https://github.com/renhongl/AiTing,Music,MIT,1,1456390327,1544413820,2016-02-25 08:52:07,2018-12-10 03:50:20,44,2,9,33,1,0,"{'JavaScript': 1202690, 'CSS': 171508, 'HTML': 420}","['javascript', 'react', 'electron']",renhongl_AiTing,0
4,Akiee,A Markdown-based task manager for hackers and people who build stuff.,https://rockiger.com/en/akiee/,https://github.com/rockiger/akiee,Productivity,GPL2,1,1537331870,1581855422,2018-09-19 04:37:50,2020-02-16 12:17:02,121,16,8,338,1,1,"{'JavaScript': 716802, 'CSS': 567590, 'Clojure': 87965, 'HTML': 5103, 'Shell': 1686, 'GCC Machine Description': 350}",[],rockiger_akiee,38
5,Alarm Cron,"Run alarms, timers and stopwatches with countdowns and custom commands from the tray.",https://github.com/bl00mber/alarm-cron,https://github.com/bl00mber/alarm-cron,Productivity,0,1,1484240143,1562379211,2017-01-12 16:55:43,2019-07-06 02:13:31,17,1,4,21,1,2,"{'TypeScript': 93775, 'CSS': 14057, 'JavaScript': 2775, 'Shell': 1406, 'HTML': 485}","['alarm', 'timer', 'stopwatch', 'cron', 'clock', 'time', 'date', 'countdown', 'windows', 'linux', 'productivity', 'time-management', 'macos', 'ubuntu']",bl00mber_alarm-cron,0
6,Alchemy,A drag-and-drop file converter for your menubar.,https://dawnlabs.io/alchemy/,https://github.com/dawnlabs/alchemy,Utilities,MIT,1,1474326118,1484678469,0,0,771,23,62,231,7,7,"{'JavaScript': 52231, 'CSS': 6058, 'HTML': 381, 'Shell': 129}","['convert', 'files', 'images', 'electron', 'react', 'menubar', 'alchemy']",dawnlabs_alchemy,29
7,Alduin,"An RSS, Atom and JSON feed reader",https://alduinapp.github.io,https://github.com/AlduinApp/alduin,Utilities,MIT,1,1477294479,1512470566,2016-10-24 07:34:39,2017-12-05 10:42:46,272,26,33,498,2,9,"{'JavaScript': 53430, 'CSS': 13343, 'HTML': 752}","['atom-feed-aggregator', 'rss', 'linux', 'windows', 'atom', 'rss-aggregator', 'jsonfeed', 'clean', 'less', 'react', 'react-redux', 'redux']",AlduinApp_alduin,39
8,allow2automate,Using Allow2 to control access and quotas for electricity via home automation devices.,https://github.com/Allow2/Allow2Automate,https://github.com/Allow2/Allow2Automate,Utilities,https://github.com/Allow2/Allow2Automate/blob/master/LICENSE,1,1482127998,1552432328,2016-12-19 06:13:18,2019-03-12 23:12:08,7,2,1,66,6,0,"{'JavaScript': 59402, 'Shell': 8281, 'HTML': 1017, 'CSS': 41}","['parental', 'controls', 'control', 'quota', 'freedom', 'children', 'child', 'parental-control', 'parent', 'wemo-devices', 'electricity', 'social-network', 'social']",Allow2_Allow2Automate,4
9,Altair GraphQL Client,Beautiful feature-rich GraphQL Client for all platforms,https://altair.sirmuel.design/,https://github.com/imolorhe/altair,Developer Tools,MIT,1,1442907837,1492755380,2015-09-22 07:43:57,2017-04-21 06:16:20,2325,32,109,3694,53,103,"{'TypeScript': 584367, 'HTML': 97496, 'CSS': 73301, 'JavaScript': 71525, 'Shell': 6759}","['graphql', 'graphql-client', 'angular', 'altair', 'chrome-extension', 'electron', 'opensource', 'graphql-editor', 'graphql-ide', 'fossa-status', 'ngrx', 'graphiql', 'graphql-subscriptions', 'fragments', 'graphql-server', 'express-middleware', 'desktop-apps', 'database', 'data']",imolorhe_altair,506
10,Alva,Create living prototypes with code components.,https://meetalva.io/,https://github.com/meetalva/alva,Graphics & Design,MIT,1,1501170233,1560544076,2017-07-27 15:43:53,2019-06-14 20:27:56,3455,121,173,1329,24,82,"{'TypeScript': 2913416, 'JavaScript': 19570}","['design', 'design-system', 'react', 'components']",meetalva_alva,299
11,Android Messages,"Cross Platform Native SMS App for macOS, Linux, and Windows 🤓",https://github.com/nparsons08/android-messages,https://github.com/nparsons08/android-messages,Productivity,0,1,1494605715,1581852883,2017-05-12 16:15:15,2020-02-16 11:34:43,36,4,11,17,1,2,{'CSS': 1},[],nparsons08_android-messages,4
12,ANote,A Simple Friendly Markdown Note.,https://github.com/AnotherNote/anote,https://github.com/AnotherNote/anote,Productivity,0,1,1445039799,1561641182,2015-10-16 23:56:39,2019-06-27 13:13:02,341,22,53,123,3,0,"{'JavaScript': 144635, 'CSS': 79363, 'HTML': 1737}",[],AnotherNote_anote,1
13,AnotherRedisDesktopManager,"Faster, better and more stable redis desktop manager, compatible with Linux, windows, mac.",https://github.com/qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,Developer Tools,MIT,1,1549999429,1566245910,0,0,6277,126,658,343,19,23,"{'JavaScript': 169766, 'CSS': 35659, 'Shell': 2236, 'HTML': 1002}","['redis-desktop-manager', 'redis-desktop', 'redis-gui', 'redis-cluster']",qishibo_AnotherRedisDesktopManager,14
14,Ao,Elegant Microsoft To-Do desktop app,https://klaussinani.github.io/ao,https://github.com/klaussinani/ao,Productivity,MIT,1,1485072231,1513076205,2017-01-22 08:03:51,2017-12-12 10:56:45,1527,42,142,389,3,24,"{'JavaScript': 41426, 'CSS': 14068}","['microsoft', 'todo', 'desktop', 'app', 'wunderlist']",klaussinani_ao,96
15,appear.in,Unofficial desktop client for appear.in,https://github.com/vitorgalvao/appear.in,https://github.com/vitorgalvao/appear.in,Social Networking,Unlicense,1,1507739662,1572808700,2017-10-11 16:34:22,2019-11-03 19:18:20,67,3,17,28,1,2,"{'JavaScript': 3557, 'HTML': 1123}","['electron', 'macos', 'unmaintained', 'deprecated']",vitorgalvao_appear.in,0
16,Appium Desktop,A cross-platform app which gives you the power of the Appium automation server in a beautiful and flexible UI.,https://appium.io/,https://github.com/appium/appium-desktop,Developer Tools,Apache License 2.0,1,1468800480,1581916251,2016-07-18 00:08:00,2020-02-17 05:10:51,2855,224,879,955,94,57,"{'JavaScript': 351586, 'CSS': 20114, 'HTML': 445}",['appium'],appium_appium-desktop,743
17,AppServer,"A Desktop App Server for HTML, MD files for Developers and Enthusiasts.",https://github.com/bismay4u/AppServer,https://github.com/bismay4u/AppServer,Developer Tools,MIT,1,1557071443,1569315184,2019-05-05 15:50:43,2019-09-24 08:53:04,49,7,17,17,1,2,"{'JavaScript': 24593, 'CSS': 7522, 'HTML': 7373}","['electron', 'proxy', 'web', 'server', 'gateway']",bismay4u_AppServer,3
18,Argo,An open source trading platform,https://argo.js.org/,https://github.com/albertosantini/argo,Finance,0,1,1422214231,1579937810,2015-01-25 19:30:31,2020-01-25 07:36:50,242,38,98,1404,2,0,"{'JavaScript': 298382, 'HTML': 2276, 'CSS': 1651}","['trading', 'forex', 'fxtrade', 'oanda']",albertosantini_argo,15
19,Asar UI,UI for Asar Pack,https://github.com/myazarc/AsarUI/releases,https://github.com/myazarc/AsarUI,Utilities,0,1,1314956787,1578996935,2011-09-02 09:46:27,2020-01-14 10:15:35,32,2,3,12,1,2,"{'JavaScript': 22416, 'Vue': 7731, 'HTML': 734}","['electron-app', 'vue', 'asar']",myazarc_AsarUI,0
20,Atom,A hackable text editor for the 21st Century,https://atom.io,https://github.com/atom/atom,Developer Tools,MIT,1,1313727119,1581374782,2011-08-19 04:11:59,2020-02-10 22:46:22,52256,2504,14719,37550,173,514,"{'JavaScript': 4327413, 'CSS': 403292, 'CoffeeScript': 244694, 'Shell': 7418, 'Batchfile': 2431, 'HTML': 460, 'Dockerfile': 354}","['atom', 'editor', 'javascript', 'electron', 'windows', 'linux', 'macos']",atom_atom,15314
21,Auryo,Unofficial multiplatform SoundCloud® app for your desktop,https://auryo.com/,https://github.com/Superjo149/auryo,Music,0,1,1524457043,1572750379,2018-04-23 04:17:23,2019-11-03 03:06:19,498,16,33,321,7,36,"{'TypeScript': 489583, 'CSS': 61421, 'JavaScript': 34011, 'Shell': 2052, 'HTML': 1400}","['electron', 'soundcloud', 'desktop', 'reactjs', 'scss', 'music', 'streaming', 'react']",Superjo149_auryo,223
22,autoEdit,Fast text based video editing,https://www.autoEdit.io,https://github.com/OpenNewsLabs/autoEdit_2,Photo & Video,MIT,1,1537360358,1544888048,2018-09-19 12:32:38,2018-12-15 15:34:08,310,35,44,588,3,30,"{'JavaScript': 1326399, 'C++': 172745, 'C': 147334, 'HTML': 118644, 'Python': 45710, 'SWIG': 29143, 'Objective-C': 28397, 'Roff': 24834, 'Shell': 12604, 'CSS': 11593, 'Ruby': 2256, 'Perl': 1448}","['video-editing', 'dmg', 'edl', 'watson', 'speech-to-text', 'stt', 'gentle', 'gentle-stt', 'osx', 'electron', 'backbone', 'ibm-watson', 'ibm-watson-speech', 'mac', 'speechmatics', 'video-sequences', 'autoedit', 'transcription', 'desktop', 'backbonejs']",OpenNewsLabs_autoEdit_2,67
23,Backup on AWS S3,This app allows you to use Amazon Web Services (AWS) S3 as backup system for desktop environments.,https://github.com/ulver2812/aws-s3-backup,https://github.com/ulver2812/aws-s3-backup,Utilities,MIT,1,1492101054,1581697217,2017-04-13 16:30:54,2020-02-14 16:20:17,48,3,10,65,8,6,"{'TypeScript': 94435, 'HTML': 59082, 'CSS': 4068, 'JavaScript': 3375}","['aws-s3', 'aws', 'electron-app', 'backup-solution', 'backup-script', 'backup-utility', 'backup-manager']",ulver2812_aws-s3-backup,6
24,Batcave,A dark-themed chat app,https://github.com/hsbalar/batcave,https://github.com/hsbalar/batcave,Social Networking,0,1,1515448830,1524846374,2018-01-08 22:00:30,2018-04-27 16:26:14,114,7,48,30,1,1,"{'HTML': 28640, 'TypeScript': 22202, 'CSS': 21714, 'JavaScript': 5153}","['batcave', 'socket-io', 'rxjs', 'angular2', 'typescript', 'express', 'mongodb']",hsbalar_batcave,4
25,Bdash,Simple business intelligence application.,https://github.com/bdash-app/bdash,https://github.com/bdash-app/bdash,Developer Tools,MIT,1,1451630447,1581951589,2016-01-01 06:40:47,2020-02-17 14:59:49,1316,43,90,596,15,35,"{'TypeScript': 166255, 'CSS': 12887, 'JavaScript': 3539, 'Shell': 1344, 'HTML': 498}","['electron', 'sql', 'javascript', 'visualization']",bdash-app_bdash,14
26,Beaker Browser,An experimental P2P browser,https://beakerbrowser.com,https://github.com/beakerbrowser/beaker,Productivity,0,1,1464213159,1560903761,2016-05-25 21:52:39,2019-06-19 00:22:41,5472,181,456,7586,11,56,"{'JavaScript': 2723857, 'CSS': 363234, 'HTML': 21697, 'Shell': 1580}","['browser', 'web', 'decentralized', 'p2p', 'dat', 'beaker', 'electron', 'decentralization']",beakerbrowser_beaker,1077
27,BearSweeper,Watch out for bear in the field!,https://github.com/kyaroru/bear-sweeper,https://github.com/kyaroru/bear-sweeper,Games,0,1,1549318187,1581878492,2019-02-04 22:09:47,2020-02-16 18:41:32,5,1,3,29,1,3,"{'JavaScript': 47248, 'CSS': 2497, 'HTML': 1721}","['electron', 'electron-reactjs', 'react', 'bear', 'minesweeper']",kyaroru_bear-sweeper,1
28,Biblio,"Create APA, MLA, and Chicago-style citations.",https://joshuamanuel.github.io/biblio/,https://github.com/JoshuaManuel/biblio,Education,MIT,1,1492108019,1527023092,2017-04-13 18:26:59,2018-05-22 21:04:52,11,1,3,54,2,2,"{'Vue': 27205, 'JavaScript': 7780, 'HTML': 549}",[],JoshuaManuel_biblio,2
29,Bitbloq,Help children create programs for a microcontroller or robot,https://bitbloq.bq.com/,https://github.com/bq/bitbloq-offline,Education,0,1,1544452640,1579970554,2018-12-10 14:37:20,2020-01-25 16:42:34,29,26,19,357,5,13,"{'C': 90732442, 'C++': 18030155, 'Roff': 9737893, 'Python': 8858017, 'HTML': 5698183, 'Assembly': 1686794, 'Objective-C': 1445830, 'Makefile': 598349, 'PHP': 430260, 'JavaScript': 272403, 'Logos': 118548, 'CSS': 115262, 'Shell': 102358, 'Smarty': 42666, 'Perl': 1090, 'Batchfile': 198}",[],bq_bitbloq-offline,5
30,BlankUp,Markdown editor witch clarity +1,https://hoverbaum.github.io/BlankUp-Electron/,https://github.com/HoverBaum/BlankUp-Electron,Productivity,0,1,1484301776,1514650989,2017-01-13 10:02:56,2017-12-30 16:23:09,37,3,4,69,3,2,"{'CSS': 153418, 'JavaScript': 16694, 'HTML': 1097}","['electron', 'markdown', 'markdown-editor']",HoverBaum_BlankUp-Electron,6
31,Blockbench,A modern 3D model editor for cube-based models,https://blockbench.net/,https://github.com/JannisX11/blockbench,Graphics & Design,MIT,1,1431942862,1525864549,2015-05-18 09:54:22,2018-05-09 11:15:49,299,15,55,129,1,46,"{'JavaScript': 1313741, 'CSS': 87672, 'HTML': 58226}","['3d', 'minecraft', 'electron']",JannisX11_blockbench,522
32,Boostnote,Simple note-taking app for programmers,https://boostnote.io,https://github.com/BoostIO/Boostnote,Productivity,0,1,1479566188,1581676142,2016-11-19 14:36:28,2020-02-14 10:29:02,16973,353,1520,4640,6,15,"{'JavaScript': 840994, 'CSS': 175050, 'HTML': 13341}","['macos', 'windows', 'linux', 'react', 'stylus', 'electron']",BoostIO_Boostnote,2177
33,BrowserDispatcher,Sends link to the right browser depending on a set of predefined rules,https://github.com/andriyko/browser-dispatcher/releases,https://github.com/andriyko/browser-dispatcher,Utilities,0,1,1488629021,1509204290,2017-03-04 12:03:41,2017-10-28 15:24:50,31,1,2,27,1,3,"{'JavaScript': 103353, 'HTML': 19392, 'CSS': 6098, 'Shell': 57}","['electron', 'electron-app', 'javascript', 'mac-osx', 'mac', 'browsers', 'nodejs', 'developer-tools']",andriyko_browser-dispatcher,2
