,name,folderName,dependencies,devDependencies,peerDependencies,bundledDependencies,optionalDependencies
0,Boats Animator,charlielee_boats-animator,"['mkdirp', 'mousetrap', 'sweetalert']","['fs-extra', 'nw-dev', 'nwjs-packager']",,,
1,Qilin,qilin-editor_qilin-app,"['classnames', 'codemirror', 'highlight.js', 'keymage', 'markdown-it', 'markdown-it-abbr', 'markdown-it-anchor', 'markdown-it-block-embed', 'markdown-it-emoji', 'markdown-it-maths', 'markdown-it-sub', 'markdown-it-sup', 'markdown-it-table-of-contents', 'markdown-it-task-lists', 'mobx', 'mobx-react', 'opn', 'prop-types', 'react', 'react-codemirror2', 'react-dom', 'react-rnd', 'react-split-pane', 'react-svg', 'react-tabs', 'wireframe-framework']","['autoprefixer', 'babel-cli', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-add-module-exports', 'babel-plugin-transform-class-properties', 'babel-plugin-transform-decorators-legacy', 'babel-plugin-transform-object-rest-spread', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-react', 'copy-webpack-plugin', 'css-loader', 'eslint', 'eslint-config-google', 'eslint-plugin-import', 'eslint-plugin-react', 'extract-text-webpack-plugin', 'file-loader', 'html-webpack-plugin', 'json-loader', 'node-sass', 'nw', 'nw-builder', 'nw-dev', 'postcss-loader', 'precss', 'resolve-url-loader', 'sass-loader', 'style-loader', 'stylelint', 'stylelint-config-standard', 'uglifyjs-webpack-plugin', 'url-loader', 'webpack', 'webpack-dev-server']",,,
2,Koa11y,open-indy_Koa11y,"['base64-img', 'fs-extra', 'http-vue-loader', 'json2csv', 'pa11y', 'phantomjs-prebuilt', 'semver', 'vue']","['7zip-bin', 'eslint', 'nw', 'nw-builder', 'pre-commit', 'rcedit', 'sass-lint', 'uikit']",,,
3,Meteor Launcher,necrotxilok_meteor-launcher,,,,,
4,Scout-App 2,scout-app_scout-app,"['node-sass', 'chokidar', 'fs-extra', 'jquery', 'components-jqueryui', 'bootstrap', 'bootstrap-slider', 'countup.js', 'awesome-sass-easing', 'bi-app-sass', 'bluejay', 'bourbon', 'bourbon-neat', 'compass-mixins', 'cssowl', 'family.scss', 'meyer-sass', 'normalize.css', 'pineapple-sass', 'sass-rem', 'sassier-buttons', 'scut', 'sierra-library', 'spice-sass', 'susy', 'typesettings']","['nw', 'eslint', 'sass-lint', 'tjw-sasslint-rules', 'google-translate-api', 'request', '7zip-bin', 'csvtojson']",,,
5,Powder Player,jaruba_PowderPlayer,"['dns', 'fs', 'mime-types', 'node-ssdp', 'opensubtitles-api', 'torrent-worker', 'ultimate-parser', 'read-torrent', 'universal-analytics', 'request', 'upnp-mediarenderer-client', 'xmlrpc', 'tcp-port-used', 'async', 'pw-wcjs-player', 'computer-sleep', 'node-subtitles-grouping', 'http-proxy', 'socket.io', 'socket.io-client', 'needle', 'net', 'valid-url', 'rimraf', 'adm-zip', 'readdirp', 'bluebird', 'workerjs', 'parse-torrent']","['grunt', 'grunt-contrib-copy', 'grunt-download', 'grunt-exec', 'grunt-nw-builder', 'grunt-shell', 'grunt-zip', 'load-grunt-tasks']",,,"['node-windows', 'windows']"
6,Boson Editor,isdampe_BosonEditorExperimental,,,,,
7,neodym IDE,novas1r1_neodym-ide,['grunt'],"['angular-material-icons', 'angular-mocks', 'angular-resource', 'angular-route', 'bower', 'fs.extra', 'grunt-browserify', 'grunt-cli', 'grunt-contrib-jshint', 'grunt-contrib-uglify', 'grunt-contrib-watch', 'grunt-istanbul-coverage', 'grunt-karma', 'jasmine-core', 'jshint-html-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage', 'karma-htmlfile-reporter', 'karma-jasmine', 'karma-phantomjs-launcher', 'karma-nodewebkit-launcher', 'mkdirp', 'ncp', 'open', 'pretty-data', 'rimraf']",,,
8,Namagic,johansatge_namagic,"['async', 'chokidar', 'glob', 'html-minifier', 'nwjs-macappstore-builder', 'uglify-js']",['grunt'],,,
9,SkimHN,mcaravind_HackerNewsSummary,,,,,
