,name,repository,isOnGit,firstCommitDate,lastCommitDate,firstCommitDateReadable,lastCommitDatereadable,stars,watchers,forks,commits,branches,releases,langs,tags,folderName,issueCount
0,Boats Animator,https://github.com/charlielee/boats-animator,1,1440636548,1575144605,2015-08-27 00:49:08,2019-11-30 20:10:05,38,7,6,964,3,22,"{'JavaScript': 112716, 'CSS': 12761, 'HTML': 8741, 'Inno Setup': 1749}","['nwjs', 'nodejs', 'javascript', 'webrtc', 'lego', 'stop-motion', 'brickfilms', 'animation', 'frame-capture', 'linux', 'mac', 'macos', 'windows']",charlielee_boats-animator,140
1,Qilin,https://github.com/qilin-editor/qilin-app,1,1472765416,1522871920,2016-09-01 21:30:16,2018-04-04 19:58:40,303,8,20,382,532,6,"{'JavaScript': 30983, 'HTML': 499, 'CSS': 243}","['latex', 'katex', 'asciimath', 'editor', 'physics', 'mathematics', 'macos', 'windows', 'linux', 'nwjs']",qilin-editor_qilin-app,42
2,Koa11y,https://github.com/open-indy/Koa11y,1,1455196628,1514933818,2016-02-11 13:17:08,2018-01-02 22:56:58,379,21,23,191,7,2,"{'CSS': 64420, 'JavaScript': 63594, 'HTML': 21368, 'Vue': 4741}","['accessibility', 'a11y', 'pa11y', 'gui', 'desktop-app']",open-indy_Koa11y,47
3,Meteor Launcher,https://github.com/necrotxilok/meteor-launcher,1,1438373796,1486014985,2015-07-31 20:16:36,2017-02-02 05:56:25,9,1,3,26,2,2,"{'JavaScript': 75649, 'CSS': 33878, 'HTML': 21328, 'Inno Setup': 1808, 'Ruby': 883, 'Batchfile': 30}",[],necrotxilok_meteor-launcher,0
4,Scout-App 2,https://github.com/scout-app/scout-app,1,1297122963,1577470419,2011-02-07 23:56:03,2019-12-27 18:13:39,612,47,98,987,6,6,"{'HTML': 906676, 'CSS': 848602, 'JavaScript': 291973}","['sass', 'scss', 'desktop', 'ui', 'ux', 'css']",scout-app_scout-app,391
5,Powder Player,https://github.com/jaruba/PowderPlayer,1,1425672739,1461279872,2015-03-06 20:12:19,2016-04-21 23:04:32,524,48,97,1002,4,26,"{'JavaScript': 679938, 'CSS': 101481, 'NSIS': 18645, 'HTML': 8156}",[],jaruba_PowderPlayer,145
6,Boson Editor,https://github.com/isdampe/BosonEditorExperimental,1,1424006337,1495590564,2015-02-15 13:18:57,2017-05-24 01:49:24,65,5,20,103,11,1,"{'JavaScript': 83536, 'CSS': 23841, 'HTML': 2073}",[],isdampe_BosonEditorExperimental,6
7,neodym IDE,https://github.com/novas1r1/neodym-ide,1,1425892912,1432817626,2015-03-09 09:21:52,2015-05-28 12:53:46,68,13,16,73,3,0,"{'HTML': 941946, 'JavaScript': 103246, 'CSS': 7010, 'Batchfile': 27}",[],novas1r1_neodym-ide,40
8,Namagic,https://github.com/johansatge/namagic,1,1424696255,1493657964,2015-02-23 12:57:35,2017-05-01 16:59:24,3,1,1,298,3,0,"{'JavaScript': 72064, 'HTML': 50125, 'CSS': 19617, 'Ruby': 110}",[],johansatge_namagic,13
9,SkimHN,https://github.com/mcaravind/HackerNewsSummary,1,1422168959,1448844865,2015-01-25 06:55:59,2015-11-30 00:54:25,30,5,5,112,1,1,"{'HTML': 823613, 'JavaScript': 328858, 'CSS': 132551, 'C#': 83503, 'PowerShell': 308}",[],mcaravind_HackerNewsSummary,0
10,lolconf,https://github.com/gwwfps/lolconf,1,1375588495,1424054744,2013-08-04 03:54:55,2015-02-16 02:45:44,10,1,3,223,3,1,"{'LiveScript': 27131, 'CSS': 12519, 'CoffeeScript': 2636}",[],gwwfps_lolconf,0
11,Pawnee,https://github.com/johansatge/pawnee,1,1420658747,1442949345,2015-01-07 19:25:47,2015-09-22 19:15:45,84,2,14,163,2,1,"{'JavaScript': 57195, 'CSS': 12161, 'HTML': 7552, 'Ruby': 106}","['osx', 'mac', 'gui', 'apache', 'mamp']",johansatge_pawnee,10
12,Yasminoku,https://github.com/jalbam/yasminoku,1,1363887519,1580379836,2013-03-21 17:38:39,2020-01-30 10:23:56,10,3,1,27,1,0,{'JavaScript': 401668},"['cross-browser', 'cross-device', 'cross-platform', 'cross-platform-game', 'dhtml', 'game', 'javascript', 'javascript-game', 'vanilla-javascript', 'web-based-game', 'web-game', 'sudoku-game', 'multilanguage', 'multiplatform', 'sudoku-generator', 'sudoku', 'sudoku-solver', 'sudoku-puzzle', 'sudoku-puzzles', 'html5-game']",jalbam_yasminoku,0
13,Akiee,https://github.com/rockiger/akiee,1,1376461095,1489846980,2013-08-14 06:18:15,2017-03-18 14:23:00,121,16,8,338,1,1,"{'JavaScript': 716802, 'CSS': 567590, 'Clojure': 87965, 'HTML': 5103, 'Shell': 1686, 'GCC Machine Description': 350}",[],rockiger_akiee,38
14,Story-writer,https://github.com/suziwen/markdownxiaoshujiang,1,1390455303,1483586956,2014-01-23 05:35:03,2017-01-05 03:29:16,1129,55,182,50,2,30,{},"['markdown', 'editor', 'notes', 'evernote', 'wiz', 'dropbox', 'mindmap', 'drawio']",suziwen_markdownxiaoshujiang,21
15,Pullover,https://github.com/cgrossde/Pullover,1,1417448916,1572795071,2014-12-01 15:48:36,2019-11-03 15:31:11,389,37,62,225,2,17,"{'JavaScript': 125452, 'CSS': 4773, 'Smarty': 3912, 'Shell': 95}",[],cgrossde_Pullover,128
16,OpenSubtitles-Uploader,https://github.com/vankasteelj/opensubtitles-uploader,1,1448216142,1573212282,2015-11-22 18:15:42,2019-11-08 11:24:42,44,27,21,304,1,14,"{'JavaScript': 103898, 'CSS': 28941, 'HTML': 16671}",[],vankasteelj_opensubtitles-uploader,61
17,U2Bear,https://github.com/shubapp/u2bear,1,1404821134,1428131522,2014-07-08 12:05:34,2015-04-04 07:12:02,43,3,13,48,1,4,"{'JavaScript': 37150, 'CSS': 31751, 'HTML': 5966, 'Shell': 187}",[],shubapp_u2bear,28
18,Nextday-Desktop,https://github.com/sanddudu/nextday-desktop,1,1395550172,1415504576,2014-03-23 04:49:32,2014-11-09 03:42:56,49,4,10,36,2,7,"{'JavaScript': 6200, 'CSS': 4118}",[],sanddudu_nextday-desktop,0
