
-------------------------------------------------------------------------------------------------------------------mean-------------------------------------------------------------------------------------------------------------------
    num_topics          tokens       document_entropy    word-length        coherence        uniform_dist      corpus_dist      eff_num_words     token-doc-diff     rank_1_docs     allocation_ratio  allocation_count    exclusivity     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        10             30890.5            7.6829             5.01           -478.20926         4.16309           1.42282          108.19119           0.0045           0.24074           0.11448           0.28452           0.48307       
        11           28082.27273         7.57643           5.05455          -498.6121          4.18439           1.56606           105.5158          0.00469           0.22925            0.0987           0.26541           0.50136       
        12           25742.08333         7.62639           5.08333          -508.58533         4.32835           1.63232           98.00115          0.00312           0.21982           0.08041           0.23791           0.48679       
        13           23761.92308         7.49001           5.23077          -490.17277         4.37272           1.67742          101.16694          0.00508           0.21946           0.07655           0.23832           0.48384       
        14           22064.64286         7.47475           5.15357          -498.47626         4.44087           1.76734           90.5889           0.00432           0.20813           0.06731           0.21926           0.47374       
        15           20593.66667          7.3994           5.12667          -501.97266         4.51181           1.82569           86.20801          0.00526           0.21027           0.06113           0.20973           0.46643       
        16            19306.5625         7.42538           5.19688          -515.92047         4.55186           1.84275           83.38014          0.00404           0.19691           0.05338           0.19173           0.46132       
        17           18170.88235         7.25826           5.19118          -508.93914         4.58064           2.02142           83.11427          0.00482           0.18924           0.05119           0.18929           0.49333       
        18           17161.38889         7.22134           5.19722          -523.74162         4.60738           2.07562           81.8692           0.00503           0.19947           0.05085           0.18844           0.49013       
        19           16258.15789         7.22484           5.36579          -520.17398         4.66122            2.0809           77.61177          0.00407           0.18869           0.04122           0.17398           0.46888       
        20             15445.25          7.17419            5.1925          -519.69964         4.71462           2.11058           75.58418          0.00467           0.19164           0.04402           0.17081           0.45847       
        25             12356.2           7.04488            5.414           -542.22456         4.89324           2.40382           64.2489           0.00405           0.17268           0.02441            0.1319           0.47616       
